IN MILLISECONDS
TOOK: 11.978864669799805
TOOK: 11.779069900512695
TOOK: 13.31472396850586
TOOK: 10.977029800415039
TOOK: 13.475894927978516
TOOK: 13.52548599243164
TOOK: 41.319847106933594
TOOK: 13.961553573608398
TOOK: 10.587692260742188
TOOK: 11.497259140014648
TOOK: 12.8021240234375
TOOK: 12.742042541503906
TOOK: 10.460853576660156
TOOK: 17.581701278686523
TOOK: 14.768362045288086
TOOK: 15.264749526977539
TOOK: 17.201900482177734
TOOK: 10.449886322021484
TOOK: 15.789508819580078
TOOK: 16.139984130859375
TOOK: 16.996145248413086
TOOK: 16.834735870361328
TOOK: 17.85421371459961
TOOK: 15.184640884399414
TOOK: 13.419866561889648
TOOK: 17.711162567138672
TOOK: 15.545129776000977
TOOK: 13.2598876953125
TOOK: 16.36958122253418
TOOK: 14.783620834350586
TOOK: 12.72892951965332
TOOK: 12.296915054321289
TOOK: 10.95271110534668
TOOK: 10.551929473876953
TOOK: 11.550664901733398
TOOK: 11.750459671020508
TOOK: 13.187408447265625
TOOK: 11.362075805664062
TOOK: 12.060403823852539
TOOK: 11.17849349975586
TOOK: 11.43503189086914
TOOK: 11.811494827270508
TOOK: 12.714147567749023
TOOK: 12.596368789672852
TOOK: 15.557527542114258
TOOK: 13.089179992675781
TOOK: 11.876106262207031
TOOK: 15.440702438354492
TOOK: 16.92056655883789
TOOK: 18.145322799682617
TOOK: 13.211488723754883
TOOK: 14.704227447509766
TOOK: 12.575864791870117
TOOK: 13.841390609741211
TOOK: 12.447834014892578
TOOK: 12.80069351196289
TOOK: 12.06660270690918
TOOK: 13.831377029418945
TOOK: 9.487390518188477
TOOK: 16.70384407043457
TOOK: 13.645648956298828
TOOK: 11.288642883300781
TOOK: 14.470100402832031
TOOK: 19.615650177001953
TOOK: 53.266286849975586
TOOK: 13.837337493896484
TOOK: 14.811515808105469
TOOK: 14.786005020141602
TOOK: 20.353078842163086
TOOK: 10.850906372070312
TOOK: 11.588335037231445
TOOK: 12.646675109863281
TOOK: 17.501115798950195
TOOK: 17.32492446899414
TOOK: 13.661384582519531
TOOK: 12.7105712890625
TOOK: 14.450311660766602
TOOK: 12.926816940307617
TOOK: 16.085386276245117
TOOK: 13.430118560791016
TOOK: 13.860702514648438
TOOK: 13.814210891723633
TOOK: 13.07368278503418
